,Mobile_name,Mobile_rating,Mobile_price,mobile_reviews
0,"POCO C55 (Cool Blue, 128 GB)",4.2,"₹6,499","1,15,448 Ratings & 6,964 Reviews"
1,"POCO C55 (Power Black, 128 GB)",4.2,"₹6,499","1,15,448 Ratings & 6,964 Reviews"
2,"vivo T2x 5G (Aurora Gold, 128 GB)",4.3,"₹14,999","63,580 Ratings & 3,813 Reviews"
3,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"₹11,999","8,595 Ratings & 1,165 Reviews"
4,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹12,999","3,50,959 Ratings & 19,757 Reviews"
5,"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"₹12,999","3,50,959 Ratings & 19,757 Reviews"
6,"vivo T2x 5G (Marine Blue, 128 GB)",4.3,"₹14,999","63,580 Ratings & 3,813 Reviews"
7,"POCO C51 (Royal Blue, 64 GB)",4,"₹5,499","1,84,661 Ratings & 10,295 Reviews"
8,"vivo T2x 5G (Glimmer Black, 128 GB)",4.3,"₹14,999","63,580 Ratings & 3,813 Reviews"
9,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"₹19,567","55,142 Ratings & 3,878 Reviews"
10,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",4.4,"₹19,608","55,142 Ratings & 3,878 Reviews"
11,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹11,999","1,58,419 Ratings & 8,457 Reviews"
12,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",4.4,"₹18,059","55,142 Ratings & 3,878 Reviews"
13,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"₹7,999","99,308 Ratings & 5,676 Reviews"
14,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹11,999","1,58,419 Ratings & 8,457 Reviews"
15,"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"₹11,999","1,58,419 Ratings & 8,457 Reviews"
16,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",4.4,"₹17,926","55,142 Ratings & 3,878 Reviews"
17,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹12,999","3,50,959 Ratings & 19,757 Reviews"
18,"POCO C55 (Forest Green, 64 GB)",4.2,"₹5,999","1,07,265 Ratings & 6,646 Reviews"
19,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"₹11,999","8,595 Ratings & 1,165 Reviews"
20,"POCO C55 (Power Black, 64 GB)",4.2,"₹5,999","1,07,265 Ratings & 6,646 Reviews"
21,"Apple iPhone 15 (Green, 128 GB)",4.6,"₹70,999","15,583 Ratings & 1,058 Reviews"
22,"POCO C51 (Power Black, 64 GB)",4,"₹5,499","1,84,661 Ratings & 10,295 Reviews"
23,"Infinix SMART 8 (Rainbow Blue, 128 GB)",4.4,"₹8,999",674 Ratings & 45 Reviews
